w0,w1,n,mle
damn,bankrupt,1,1.0067755997865636e-05
damn,cohn,1,1.0067755997865636e-05
damn,depression,1,1.0067755997865636e-05
damn,drunk,1,1.0067755997865636e-05
damn,dull,1,1.0067755997865636e-05
damn,fool,1,1.0067755997865636e-05
damn,glad,1,1.0067755997865636e-05
damn,good,4,4.0271023991462545e-05
damn,humidity,1,1.0067755997865636e-05
damn,nice,2,2.0135511995731273e-05
damn,police,1,1.0067755997865636e-05
damn,right,1,1.0067755997865636e-05
damn,thing,2,2.0135511995731273e-05
damn,use,1,1.0067755997865636e-05
damn,well,1,1.0067755997865636e-05
damnation,</s>,1,1.0067755997865636e-05
damned,</s>,1,1.0067755997865636e-05
damned,amusing,1,1.0067755997865636e-05
damned,bad,1,1.0067755997865636e-05
damned,badly,1,1.0067755997865636e-05
damned,biarritz,1,1.0067755997865636e-05
damned,cohn,1,1.0067755997865636e-05
damned,crowded,1,1.0067755997865636e-05
damned,english,1,1.0067755997865636e-05
damned,fine,2,2.0135511995731273e-05
damned,fond,1,1.0067755997865636e-05
damned,fool,1,1.0067755997865636e-05
damned,funny,1,1.0067755997865636e-05
damned,good,8,8.054204798292509e-05
damned,hard,2,2.0135511995731273e-05
damned,if,1,1.0067755997865636e-05
damned,insulting,1,1.0067755997865636e-05
damned,interesting,1,1.0067755997865636e-05
damned,jew,1,1.0067755997865636e-05
damned,lucky,1,1.0067755997865636e-05
damned,much,1,1.0067755997865636e-05
damned,nasty,1,1.0067755997865636e-05
damned,nervous,1,1.0067755997865636e-05
damned,nice,4,4.0271023991462545e-05
damned,noble,1,1.0067755997865636e-05
damned,pimp,1,1.0067755997865636e-05
damned,romantic,1,1.0067755997865636e-05
damned,shame,1,1.0067755997865636e-05
damned,silly,1,1.0067755997865636e-05
damned,snotty,1,1.0067755997865636e-05
damned,suffering,1,1.0067755997865636e-05
damned,touching,1,1.0067755997865636e-05
damned,useful,1,1.0067755997865636e-05
damned,well,4,4.0271023991462545e-05
damoys,crossed,1,1.0067755997865636e-05
damp,against,1,1.0067755997865636e-05
damp,and,2,2.0135511995731273e-05
damp,ground,1,1.0067755997865636e-05
damp,i,1,1.0067755997865636e-05
damp,in,1,1.0067755997865636e-05
damp,letters,1,1.0067755997865636e-05
dampened,mud,1,1.0067755997865636e-05
dance,</s>,5,5.0338779989328176e-05
dance,again,1,1.0067755997865636e-05
dance,and,2,2.0135511995731273e-05
dance,arent,1,1.0067755997865636e-05
dance,around,2,2.0135511995731273e-05
dance,brett,1,1.0067755997865636e-05
dance,but,1,1.0067755997865636e-05
dance,count,1,1.0067755997865636e-05
dance,differently,1,1.0067755997865636e-05
dance,is,1,1.0067755997865636e-05
dance,this,2,2.0135511995731273e-05
dance,too,1,1.0067755997865636e-05
dance,with,3,3.0203267993596907e-05
danced,</s>,6,6.0406535987193814e-05
danced,at,1,1.0067755997865636e-05
danced,big,1,1.0067755997865636e-05
danced,down,1,1.0067755997865636e-05
danced,in,2,2.0135511995731273e-05
danced,the,1,1.0067755997865636e-05
danced,there,1,1.0067755997865636e-05
danced,tight,1,1.0067755997865636e-05
danced,up,1,1.0067755997865636e-05
dancer,i,1,1.0067755997865636e-05
dancer,jake,1,1.0067755997865636e-05
dancers,</s>,5,5.0338779989328176e-05
dancers,all,1,1.0067755997865636e-05
dancers,and,2,2.0135511995731273e-05
dancers,came,1,1.0067755997865636e-05
dancers,did,1,1.0067755997865636e-05
dancers,formed,1,1.0067755997865636e-05
dancers,going,1,1.0067755997865636e-05
dancers,in,1,1.0067755997865636e-05
dancers,were,2,2.0135511995731273e-05
dancing,</s>,6,6.0406535987193814e-05
dancing,and,2,2.0135511995731273e-05
dancing,club,3,3.0203267993596907e-05
dancing,floor,3,3.0203267993596907e-05
dancing,i,1,1.0067755997865636e-05
dancing,in,5,5.0338779989328176e-05
dancing,kept,1,1.0067755997865636e-05
dancing,on,1,1.0067755997865636e-05
dancing,to,1,1.0067755997865636e-05
dancing,up,1,1.0067755997865636e-05
dancing,were,1,1.0067755997865636e-05
dancing,with,2,2.0135511995731273e-05
dancings,</s>,1,1.0067755997865636e-05
danger,</s>,2,2.0135511995731273e-05
danger,in,1,1.0067755997865636e-05
danger,of,1,1.0067755997865636e-05
dangerous,</s>,2,2.0135511995731273e-05
dangerous,to,1,1.0067755997865636e-05
dangerous,when,2,2.0135511995731273e-05
dangerously,armed,1,1.0067755997865636e-05
darbs,</s>,1,1.0067755997865636e-05
dare,say,2,2.0135511995731273e-05
dark,</s>,8,8.054204798292509e-05
dark,again,1,1.0067755997865636e-05
dark,along,1,1.0067755997865636e-05
dark,and,10,0.00010067755997865635
dark,bridge,1,1.0067755997865636e-05
dark,corridor,1,1.0067755997865636e-05
dark,gate,1,1.0067755997865636e-05
dark,i,2,2.0135511995731273e-05
dark,in,2,2.0135511995731273e-05
dark,inside,1,1.0067755997865636e-05
dark,into,1,1.0067755997865636e-05
dark,mountain,1,1.0067755997865636e-05
dark,mountains,1,1.0067755997865636e-05
dark,muzzle,1,1.0067755997865636e-05
dark,one,2,2.0135511995731273e-05
dark,outside,1,1.0067755997865636e-05
dark,pits,1,1.0067755997865636e-05
dark,room,1,1.0067755997865636e-05
dark,shadow,1,1.0067755997865636e-05
dark,stained,1,1.0067755997865636e-05
dark,station,1,1.0067755997865636e-05
dark,still,1,1.0067755997865636e-05
dark,street,1,1.0067755997865636e-05
dark,streets,1,1.0067755997865636e-05
dark,suit,1,1.0067755997865636e-05
dark,the,1,1.0067755997865636e-05
dark,then,1,1.0067755997865636e-05
dark,to,1,1.0067755997865636e-05
dark,under,2,2.0135511995731273e-05
dark,when,1,1.0067755997865636e-05
dark,with,1,1.0067755997865636e-05
dark,you,1,1.0067755997865636e-05
darker,than,1,1.0067755997865636e-05
darling,</s>,17,0.0001711518519637158
darling,brett,1,1.0067755997865636e-05
darling,dont,2,2.0135511995731273e-05
darling,i,1,1.0067755997865636e-05
darling,ive,1,1.0067755997865636e-05
darling,please,2,2.0135511995731273e-05
darling,said,1,1.0067755997865636e-05
darling,she,1,1.0067755997865636e-05
darndest,time,1,1.0067755997865636e-05
dashing,fellow,1,1.0067755997865636e-05
date,</s>,2,2.0135511995731273e-05
date,and,1,1.0067755997865636e-05
date,myself,1,1.0067755997865636e-05
date,up,1,1.0067755997865636e-05
date,with,3,3.0203267993596907e-05
dated,san,1,1.0067755997865636e-05
daughter,came,1,1.0067755997865636e-05
daughter,katherinei,1,1.0067755997865636e-05
daughter,of,2,2.0135511995731273e-05
daughter,said,1,1.0067755997865636e-05
daughters,about,1,1.0067755997865636e-05
daughters,too,1,1.0067755997865636e-05
daunt,you,1,1.0067755997865636e-05
daunted,</s>,5,5.0338779989328176e-05
daunted,after,1,1.0067755997865636e-05
daunted,ill,1,1.0067755997865636e-05
daunted,in,1,1.0067755997865636e-05
davidson,</s>,1,1.0067755997865636e-05
davis,</s>,1,1.0067755997865636e-05
day,</s>,16,0.00016108409596585018
day,after,2,2.0135511995731273e-05
day,and,4,4.0271023991462545e-05
day,before,3,3.0203267993596907e-05
day,comfortably,1,1.0067755997865636e-05
day,from,2,2.0135511995731273e-05
day,god,1,1.0067755997865636e-05
day,he,1,1.0067755997865636e-05
day,his,1,1.0067755997865636e-05
day,i,1,1.0067755997865636e-05
day,im,1,1.0067755997865636e-05
day,in,2,2.0135511995731273e-05
day,like,1,1.0067755997865636e-05
day,long,1,1.0067755997865636e-05
day,montoya,1,1.0067755997865636e-05
day,not,1,1.0067755997865636e-05
day,of,6,6.0406535987193814e-05
day,pedro,1,1.0067755997865636e-05
day,san,1,1.0067755997865636e-05
day,so,1,1.0067755997865636e-05
day,somebody,1,1.0067755997865636e-05
day,the,1,1.0067755997865636e-05
day,there,1,1.0067755997865636e-05
day,theyll,1,1.0067755997865636e-05
day,was,2,2.0135511995731273e-05
day,we,1,1.0067755997865636e-05
day,with,1,1.0067755997865636e-05
daylight,i,1,1.0067755997865636e-05
days,</s>,8,8.054204798292509e-05
days,ago,1,1.0067755997865636e-05
days,at,2,2.0135511995731273e-05
days,before,1,1.0067755997865636e-05
days,going,1,1.0067755997865636e-05
days,i,1,1.0067755997865636e-05
days,in,1,1.0067755997865636e-05
days,jake,1,1.0067755997865636e-05
days,now,1,1.0067755997865636e-05
days,rest,1,1.0067755997865636e-05
days,up,1,1.0067755997865636e-05
days,we,1,1.0067755997865636e-05
days,were,2,2.0135511995731273e-05
days,worked,1,1.0067755997865636e-05
daytime,but,1,1.0067755997865636e-05
daytime,i,1,1.0067755997865636e-05
dayton,ohio,1,1.0067755997865636e-05
de,belfort,1,1.0067755997865636e-05
de,bethune,1,1.0067755997865636e-05
de,fer,1,1.0067755997865636e-05
de,france,2,2.0135511995731273e-05
de,grâce,1,1.0067755997865636e-05
de,la,4,4.0271023991462545e-05
de,lopéra,1,1.0067755997865636e-05
de,luz,2,2.0135511995731273e-05
de,negre,1,1.0067755997865636e-05
de,port,1,1.0067755997865636e-05
de,rivera,1,1.0067755997865636e-05
de,rivoli,1,1.0067755997865636e-05
de,roncesvalles,1,1.0067755997865636e-05
de,sarasate,1,1.0067755997865636e-05
de,taureaux,1,1.0067755997865636e-05
de,toros,1,1.0067755997865636e-05
de,versailles,1,1.0067755997865636e-05
dead,</s>,8,8.054204798292509e-05
dead,and,3,3.0203267993596907e-05
dead,at,1,1.0067755997865636e-05
dead,bill,1,1.0067755997865636e-05
dead,bull,2,2.0135511995731273e-05
dead,ducks,1,1.0067755997865636e-05
dead,if,1,1.0067755997865636e-05
dead,mike,1,1.0067755997865636e-05
dead,one,1,1.0067755997865636e-05
dead,places,1,1.0067755997865636e-05
dead,thats,1,1.0067755997865636e-05
deal,</s>,1,1.0067755997865636e-05
deal,as,1,1.0067755997865636e-05
deal,of,1,1.0067755997865636e-05
deal,take,1,1.0067755997865636e-05
dear,</s>,18,0.00018121960796158146
dear,brett,2,2.0135511995731273e-05
dear,days,1,1.0067755997865636e-05
dear,i,2,2.0135511995731273e-05
dear,jake,1,1.0067755997865636e-05
dear,mother,2,2.0135511995731273e-05
dear,said,1,1.0067755997865636e-05
dear,you,1,1.0067755997865636e-05
death,</s>,2,2.0135511995731273e-05
death,mask,1,1.0067755997865636e-05
death,of,2,2.0135511995731273e-05
decadence,of,1,1.0067755997865636e-05
decadent,period,1,1.0067755997865636e-05
deceive,me,1,1.0067755997865636e-05
decent,of,1,1.0067755997865636e-05
decent,version,1,1.0067755997865636e-05
decided,he,1,1.0067755997865636e-05
decided,i,1,1.0067755997865636e-05
decided,that,1,1.0067755997865636e-05
decided,to,1,1.0067755997865636e-05
deciding,not,1,1.0067755997865636e-05
declare,</s>,1,1.0067755997865636e-05
dedicated,to,1,1.0067755997865636e-05
deducted,four,1,1.0067755997865636e-05
deep,</s>,1,1.0067755997865636e-05
deep,enough,1,1.0067755997865636e-05
deep,hot,1,1.0067755997865636e-05
deep,leather,1,1.0067755997865636e-05
deep,once,1,1.0067755997865636e-05
deep,secret,1,1.0067755997865636e-05
deep,stone,1,1.0067755997865636e-05
deep,water,1,1.0067755997865636e-05
deeper,into,1,1.0067755997865636e-05
deeply,for,1,1.0067755997865636e-05
deeply,to,1,1.0067755997865636e-05
defensive,and,1,1.0067755997865636e-05
defined,her,1,1.0067755997865636e-05
definite,end,1,1.0067755997865636e-05
definite,value,1,1.0067755997865636e-05
defrauded,and,1,1.0067755997865636e-05
degree,of,1,1.0067755997865636e-05
del,mono,3,3.0203267993596907e-05
del,sol,1,1.0067755997865636e-05
del,toro,1,1.0067755997865636e-05
delambre,</s>,1,1.0067755997865636e-05
delayed,the,1,1.0067755997865636e-05
delicate,working,1,1.0067755997865636e-05
demanded,that,1,1.0067755997865636e-05
demanded,the,1,1.0067755997865636e-05
demonstration,</s>,1,1.0067755997865636e-05
dempsey,</s>,1,1.0067755997865636e-05
den,i,1,1.0067755997865636e-05
denfert,rochereau,1,1.0067755997865636e-05
denver,los,1,1.0067755997865636e-05
depart,</s>,1,1.0067755997865636e-05
departure,was,1,1.0067755997865636e-05
depresses,me,1,1.0067755997865636e-05
depression,</s>,1,1.0067755997865636e-05
deprive,her,1,1.0067755997865636e-05
depths,sometimes,1,1.0067755997865636e-05
des,capucines,1,1.0067755997865636e-05
des,gobelins,1,1.0067755997865636e-05
des,lilas,2,2.0135511995731273e-05
des,pyramides,1,1.0067755997865636e-05
des,saints,1,1.0067755997865636e-05
describe,it,1,1.0067755997865636e-05
describe,the,1,1.0067755997865636e-05
described,</s>,1,1.0067755997865636e-05
described,where,1,1.0067755997865636e-05
desencajonada,</s>,1,1.0067755997865636e-05
deserted,</s>,3,3.0203267993596907e-05
deserted,us,1,1.0067755997865636e-05
deserves,to,1,1.0067755997865636e-05
deserving,expectation,1,1.0067755997865636e-05
desk,</s>,4,4.0271023991462545e-05
desk,and,1,1.0067755997865636e-05
desk,were,1,1.0067755997865636e-05
dessert,</s>,2,2.0135511995731273e-05
dessert,and,1,1.0067755997865636e-05
destroyed,before,1,1.0067755997865636e-05
destroyed,would,1,1.0067755997865636e-05
detach,him,1,1.0067755997865636e-05
detach,me,1,1.0067755997865636e-05
detach,one,1,1.0067755997865636e-05
details,</s>,1,1.0067755997865636e-05
determination,that,1,1.0067755997865636e-05
detest,flamands,1,1.0067755997865636e-05
developing,a,1,1.0067755997865636e-05
development,</s>,1,1.0067755997865636e-05
devil,</s>,1,1.0067755997865636e-05
devil,him,2,2.0135511995731273e-05
dew,that,1,1.0067755997865636e-05
dhôte,meal,1,1.0067755997865636e-05
dhôtel,said,1,1.0067755997865636e-05
dice,cup,2,2.0135511995731273e-05
dice,in,1,1.0067755997865636e-05
dice,out,1,1.0067755997865636e-05
did,</s>,7,7.047429198505945e-05
did,always,1,1.0067755997865636e-05
did,behave,1,1.0067755997865636e-05
did,bother,1,1.0067755997865636e-05
did,brett,1,1.0067755997865636e-05
did,cohn,1,1.0067755997865636e-05
did,either,1,1.0067755997865636e-05
did,hate,1,1.0067755997865636e-05
did,have,1,1.0067755997865636e-05
did,he,7,7.047429198505945e-05
did,hit,1,1.0067755997865636e-05
did,hurt,1,1.0067755997865636e-05
did,i,8,8.054204798292509e-05
did,in,1,1.0067755997865636e-05
did,insisted,1,1.0067755997865636e-05
did,it,6,6.0406535987193814e-05
did,learn,1,1.0067755997865636e-05
did,me,1,1.0067755997865636e-05
did,mike,1,1.0067755997865636e-05
did,not,99,0.0009967078437886979
did,on,1,1.0067755997865636e-05
did,she,5,5.0338779989328176e-05
did,showed,1,1.0067755997865636e-05
did,sleep,1,1.0067755997865636e-05
did,that,2,2.0135511995731273e-05
did,the,1,1.0067755997865636e-05
did,they,4,4.0271023991462545e-05
did,we,1,1.0067755997865636e-05
did,wine,1,1.0067755997865636e-05
did,with,1,1.0067755997865636e-05
did,you,47,0.00047318453189968486
did,your,1,1.0067755997865636e-05
didnt,</s>,1,1.0067755997865636e-05
didnt,ask,2,2.0135511995731273e-05
didnt,believe,1,1.0067755997865636e-05
didnt,care,1,1.0067755997865636e-05
didnt,cohn,1,1.0067755997865636e-05
didnt,come,4,4.0271023991462545e-05
didnt,do,2,2.0135511995731273e-05
didnt,even,1,1.0067755997865636e-05
didnt,feel,1,1.0067755997865636e-05
didnt,give,1,1.0067755997865636e-05
didnt,have,5,5.0338779989328176e-05
didnt,i,2,2.0135511995731273e-05
didnt,knock,1,1.0067755997865636e-05
didnt,know,4,4.0271023991462545e-05
didnt,look,1,1.0067755997865636e-05
didnt,love,1,1.0067755997865636e-05
didnt,mean,3,3.0203267993596907e-05
didnt,need,1,1.0067755997865636e-05
didnt,pay,1,1.0067755997865636e-05
didnt,said,1,1.0067755997865636e-05
didnt,say,4,4.0271023991462545e-05
didnt,see,1,1.0067755997865636e-05
didnt,she,1,1.0067755997865636e-05
didnt,sleep,2,2.0135511995731273e-05
didnt,so,1,1.0067755997865636e-05
didnt,tell,1,1.0067755997865636e-05
didnt,think,1,1.0067755997865636e-05
didnt,want,4,4.0271023991462545e-05
didnt,you,13,0.00013088082797225325
die,</s>,1,1.0067755997865636e-05
died,a,1,1.0067755997865636e-05
died,down,1,1.0067755997865636e-05
difference,</s>,5,5.0338779989328176e-05
difference,to,4,4.0271023991462545e-05
difference,what,1,1.0067755997865636e-05
difference,who,1,1.0067755997865636e-05
difference,with,2,2.0135511995731273e-05
different,</s>,2,2.0135511995731273e-05
different,depths,1,1.0067755997865636e-05
different,dishes,1,1.0067755997865636e-05
different,from,1,1.0067755997865636e-05
different,tunes,1,1.0067755997865636e-05
differently,from,1,1.0067755997865636e-05
differently,to,1,1.0067755997865636e-05
difficult,</s>,3,3.0203267993596907e-05
difficult,at,1,1.0067755997865636e-05
difficulty,as,1,1.0067755997865636e-05
dig,</s>,1,1.0067755997865636e-05
dig,some,2,2.0135511995731273e-05
digging,at,1,1.0067755997865636e-05
dignified,when,1,1.0067755997865636e-05
dignitaries,civil,1,1.0067755997865636e-05
dignitaries,had,1,1.0067755997865636e-05
diligence,</s>,1,1.0067755997865636e-05
diligence,the,1,1.0067755997865636e-05
dim,and,1,1.0067755997865636e-05
dim,like,1,1.0067755997865636e-05
dine,there,1,1.0067755997865636e-05
dined,at,2,2.0135511995731273e-05
dined,together,1,1.0067755997865636e-05
dined,with,2,2.0135511995731273e-05
diner,</s>,1,1.0067755997865636e-05
diner,and,1,1.0067755997865636e-05
dingo,</s>,2,2.0135511995731273e-05
dingo,when,1,1.0067755997865636e-05
dining,car,5,5.0338779989328176e-05
dining,room,13,0.00013088082797225325
dining,rooms,1,1.0067755997865636e-05
dining,with,1,1.0067755997865636e-05
dinitiative,office,1,1.0067755997865636e-05
dinner,</s>,10,0.00010067755997865635
dinner,and,4,4.0271023991462545e-05
dinner,at,1,1.0067755997865636e-05
dinner,crowd,1,1.0067755997865636e-05
dinner,every,1,1.0067755997865636e-05
dinner,in,1,1.0067755997865636e-05
dinner,michael,1,1.0067755997865636e-05
dinner,that,1,1.0067755997865636e-05
dinner,to,1,1.0067755997865636e-05
dinner,we,1,1.0067755997865636e-05
dinner,with,1,1.0067755997865636e-05
dinners,i,1,1.0067755997865636e-05
diplomat,in,1,1.0067755997865636e-05
dipped,down,1,1.0067755997865636e-05
direct,action,1,1.0067755997865636e-05
direct,from,1,1.0067755997865636e-05
directing,traffic,1,1.0067755997865636e-05
direction,and,1,1.0067755997865636e-05
directly,</s>,1,1.0067755997865636e-05
directly,below,3,3.0203267993596907e-05
directly,in,1,1.0067755997865636e-05
directly,into,1,1.0067755997865636e-05
directly,to,1,1.0067755997865636e-05
dirt,</s>,1,1.0067755997865636e-05
dirt,onto,1,1.0067755997865636e-05
dirty,</s>,2,2.0135511995731273e-05
dirty,business,1,1.0067755997865636e-05
dirty,little,1,1.0067755997865636e-05
dirty,swine,1,1.0067755997865636e-05
dirty,war,1,1.0067755997865636e-05
disappeared,and,1,1.0067755997865636e-05
disappeared,as,1,1.0067755997865636e-05
disappeared,into,1,1.0067755997865636e-05
disappearing,into,1,1.0067755997865636e-05
disappointed,because,1,1.0067755997865636e-05
disbelieved,</s>,1,1.0067755997865636e-05
discolored,</s>,1,1.0067755997865636e-05
discolored,and,1,1.0067755997865636e-05
discomposed,but,1,1.0067755997865636e-05
discounted,and,1,1.0067755997865636e-05
discounted,them,1,1.0067755997865636e-05
discover,graceful,1,1.0067755997865636e-05
discovered,he,1,1.0067755997865636e-05
discovered,i,1,1.0067755997865636e-05
discovered,that,1,1.0067755997865636e-05
discovered,writing,1,1.0067755997865636e-05
discovering,what,1,1.0067755997865636e-05
discovery,that,1,1.0067755997865636e-05
discredit,on,3,3.0203267993596907e-05
discussed,the,1,1.0067755997865636e-05
discussing,finances,1,1.0067755997865636e-05
disgraceful,business,1,1.0067755997865636e-05
disgusted,</s>,1,1.0067755997865636e-05
disgusted,afterward,1,1.0067755997865636e-05
disgusted,at,1,1.0067755997865636e-05
disgusted,feeling,1,1.0067755997865636e-05
disgusted,with,1,1.0067755997865636e-05
disgusting,</s>,1,1.0067755997865636e-05
dish,of,2,2.0135511995731273e-05
dishes,of,1,1.0067755997865636e-05
disjointed,my,1,1.0067755997865636e-05
disliked,it,1,1.0067755997865636e-05
dislikes,from,1,1.0067755997865636e-05
disorder,</s>,1,1.0067755997865636e-05
disorder,produced,1,1.0067755997865636e-05
distance,away,1,1.0067755997865636e-05
distant,towns,1,1.0067755997865636e-05
distaste,for,1,1.0067755997865636e-05
distinguished,soldier,1,1.0067755997865636e-05
disturbed,emotional,1,1.0067755997865636e-05
dites,garçon,1,1.0067755997865636e-05
dive,sometimes,1,1.0067755997865636e-05
dive,the,1,1.0067755997865636e-05
dives,</s>,1,1.0067755997865636e-05
divine,miracle,1,1.0067755997865636e-05
divorce,</s>,2,2.0135511995731273e-05
divorce,and,1,1.0067755997865636e-05
divorce,the,1,1.0067755997865636e-05
divorce,was,1,1.0067755997865636e-05
divorced,lady,1,1.0067755997865636e-05
divorces,</s>,1,1.0067755997865636e-05
do,</s>,33,0.00033223594792956596
do,a,4,4.0271023991462545e-05
do,about,4,4.0271023991462545e-05
do,an,1,1.0067755997865636e-05
do,and,1,1.0067755997865636e-05
do,any,2,2.0135511995731273e-05
do,anything,4,4.0271023991462545e-05
do,battle,1,1.0067755997865636e-05
do,buck,1,1.0067755997865636e-05
do,capework,1,1.0067755997865636e-05
do,declare,1,1.0067755997865636e-05
do,eat,1,1.0067755997865636e-05
do,feel,2,2.0135511995731273e-05
do,for,1,1.0067755997865636e-05
do,get,2,2.0135511995731273e-05
do,give,1,1.0067755997865636e-05
do,have,1,1.0067755997865636e-05
do,i,9,9.060980398079073e-05
do,if,1,1.0067755997865636e-05
do,is,1,1.0067755997865636e-05
do,it,16,0.00016108409596585018
do,jake,1,1.0067755997865636e-05
do,know,3,3.0203267993596907e-05
do,lets,1,1.0067755997865636e-05
do,look,1,1.0067755997865636e-05
do,me,1,1.0067755997865636e-05
do,mike,1,1.0067755997865636e-05
do,my,3,3.0203267993596907e-05
do,nights,1,1.0067755997865636e-05
do,not,10,0.00010067755997865635
do,nothing,1,1.0067755997865636e-05
do,now,1,1.0067755997865636e-05
do,out,1,1.0067755997865636e-05
do,say,1,1.0067755997865636e-05
do,send,1,1.0067755997865636e-05
do,she,1,1.0067755997865636e-05
do,shove,1,1.0067755997865636e-05
do,sit,1,1.0067755997865636e-05
do,something,3,3.0203267993596907e-05
do,stay,1,1.0067755997865636e-05
do,than,1,1.0067755997865636e-05
do,that,6,6.0406535987193814e-05
do,they,4,4.0271023991462545e-05
do,though,2,2.0135511995731273e-05
do,to,4,4.0271023991462545e-05
do,us,1,1.0067755997865636e-05
do,we,3,3.0203267993596907e-05
do,with,3,3.0203267993596907e-05
do,you,94,0.0009463690637993697
does,</s>,1,1.0067755997865636e-05
does,a,1,1.0067755997865636e-05
does,cohn,1,1.0067755997865636e-05
does,give,1,1.0067755997865636e-05
does,have,1,1.0067755997865636e-05
does,he,6,6.0406535987193814e-05
does,me,2,2.0135511995731273e-05
does,not,1,1.0067755997865636e-05
does,one,1,1.0067755997865636e-05
does,seem,1,1.0067755997865636e-05
does,she,1,1.0067755997865636e-05
does,that,2,2.0135511995731273e-05
does,the,3,3.0203267993596907e-05
does,this,1,1.0067755997865636e-05
does,utilize,1,1.0067755997865636e-05
does,your,1,1.0067755997865636e-05
doesnt,add,1,1.0067755997865636e-05
doesnt,anything,1,1.0067755997865636e-05
doesnt,buck,1,1.0067755997865636e-05
doesnt,care,1,1.0067755997865636e-05
doesnt,come,1,1.0067755997865636e-05
doesnt,do,1,1.0067755997865636e-05
doesnt,eat,1,1.0067755997865636e-05
doesnt,get,2,2.0135511995731273e-05
doesnt,he,2,2.0135511995731273e-05
doesnt,interest,1,1.0067755997865636e-05
doesnt,it,1,1.0067755997865636e-05
doesnt,know,2,2.0135511995731273e-05
doesnt,leak,1,1.0067755997865636e-05
doesnt,like,1,1.0067755997865636e-05
doesnt,make,7,7.047429198505945e-05
doesnt,marry,1,1.0067755997865636e-05
doesnt,matter,1,1.0067755997865636e-05
doesnt,mind,1,1.0067755997865636e-05
doesnt,read,1,1.0067755997865636e-05
doesnt,remember,1,1.0067755997865636e-05
doesnt,think,1,1.0067755997865636e-05
doesnt,this,1,1.0067755997865636e-05
doesnt,want,4,4.0271023991462545e-05
dog,</s>,4,4.0271023991462545e-05
dogs,</s>,2,2.0135511995731273e-05
dogs,bill,1,1.0067755997865636e-05
dogs,so,1,1.0067755997865636e-05
doing,</s>,3,3.0203267993596907e-05
doing,all,1,1.0067755997865636e-05
doing,at,1,1.0067755997865636e-05
doing,it,1,1.0067755997865636e-05
doing,same,1,1.0067755997865636e-05
doings,yourself,1,1.0067755997865636e-05
dollars,</s>,1,1.0067755997865636e-05
dollars,a,1,1.0067755997865636e-05
dollars,his,1,1.0067755997865636e-05
dollars,to,1,1.0067755997865636e-05
dome,</s>,2,2.0135511995731273e-05
dome,its,1,1.0067755997865636e-05
domestic,unhappiness,1,1.0067755997865636e-05
dominated,the,1,1.0067755997865636e-05
don,manuel,6,6.0406535987193814e-05
done,</s>,1,1.0067755997865636e-05
done,a,1,1.0067755997865636e-05
done,close,1,1.0067755997865636e-05
done,if,1,1.0067755997865636e-05
done,in,2,2.0135511995731273e-05
done,it,3,3.0203267993596907e-05
done,just,1,1.0067755997865636e-05
done,not,1,1.0067755997865636e-05
done,nothing,1,1.0067755997865636e-05
done,to,1,1.0067755997865636e-05
donkeys,that,1,1.0067755997865636e-05
dont,</s>,5,5.0338779989328176e-05
dont,ask,2,2.0135511995731273e-05
dont,be,23,0.00023155838795090963
dont,believe,5,5.0338779989328176e-05
dont,call,1,1.0067755997865636e-05
dont,care,4,4.0271023991462545e-05
dont,come,2,2.0135511995731273e-05
dont,do,2,2.0135511995731273e-05
dont,draw,1,1.0067755997865636e-05
dont,drink,2,2.0135511995731273e-05
dont,eat,1,1.0067755997865636e-05
dont,feel,1,1.0067755997865636e-05
dont,film,1,1.0067755997865636e-05
dont,forget,1,1.0067755997865636e-05
dont,get,9,9.060980398079073e-05
dont,give,2,2.0135511995731273e-05
dont,go,5,5.0338779989328176e-05
dont,have,5,5.0338779989328176e-05
dont,i,1,1.0067755997865636e-05
dont,joke,2,2.0135511995731273e-05
dont,just,1,1.0067755997865636e-05
dont,keep,1,1.0067755997865636e-05
dont,kid,2,2.0135511995731273e-05
dont,kill,1,1.0067755997865636e-05
dont,know,45,0.0004530490199039536
dont,let,2,2.0135511995731273e-05
dont,lets,5,5.0338779989328176e-05
dont,like,6,6.0406535987193814e-05
dont,look,8,8.054204798292509e-05
dont,make,1,1.0067755997865636e-05
dont,mean,4,4.0271023991462545e-05
dont,mind,6,6.0406535987193814e-05
dont,need,4,4.0271023991462545e-05
dont,pedal,2,2.0135511995731273e-05
dont,remember,6,6.0406535987193814e-05
dont,rub,1,1.0067755997865636e-05
dont,say,1,1.0067755997865636e-05
dont,she,1,1.0067755997865636e-05
dont,sit,1,1.0067755997865636e-05
dont,spoil,1,1.0067755997865636e-05
dont,stand,1,1.0067755997865636e-05
dont,start,2,2.0135511995731273e-05
dont,talk,5,5.0338779989328176e-05
dont,tell,1,1.0067755997865636e-05
dont,they,2,2.0135511995731273e-05
dont,think,16,0.00016108409596585018
dont,touch,2,2.0135511995731273e-05
dont,try,2,2.0135511995731273e-05
dont,understand,1,1.0067755997865636e-05
dont,want,13,0.00013088082797225325
dont,watch,1,1.0067755997865636e-05
dont,we,1,1.0067755997865636e-05
dont,work,1,1.0067755997865636e-05
dont,worry,4,4.0271023991462545e-05
dont,you,52,0.000523523311889013
door,</s>,26,0.0002617616559445065
door,and,15,0.00015101633996798453
door,because,1,1.0067755997865636e-05
door,bell,1,1.0067755997865636e-05
door,i,3,3.0203267993596907e-05
door,looked,1,1.0067755997865636e-05
